member,lead,trust,err
gru,24,1.0,189.3850048472644
transformer,24,1.0,155.29543185848053
cliper,24,0.5,222.97937108858574
gru,48,1.0,675.8347897806541
transformer,48,1.0,598.5856367342972
cliper,48,0.5,703.0005240302582
gru,24,1.0,36.58412765608933
transformer,24,1.0,67.58680085251164
cliper,24,0.75,55.97362784165491
gru,48,1.0,201.45491236240068
transformer,48,1.0,119.0568867425947
cliper,48,0.75,246.99963063230248
gru,72,1.0,694.4695752350341
transformer,72,1.0,591.3175822170139
cliper,72,0.5,747.7367170447056
gru,24,1.0,152.37026043580113
transformer,24,1.0,175.31799517145038
cliper,24,0.5,224.37567823360956
gru,48,1.0,495.5837372463086
transformer,48,1.0,477.4642776339235
cliper,48,0.5,628.6172452118076
gru,72,1.0,1490.4907190874071
transformer,72,1.0,1410.330763822239
cliper,72,0.5,1623.6336399830288
pangu,24,1.0,67.55498135749718
fengwu,24,1.0,67.55498135749718
gru,24,0.5,69.37811103793658
transformer,24,0.5,72.81728586717875
cliper,24,1.0,76.27473498553572
cons_aiwp,24,1.0,67.55498135749718
pangu,48,1.0,57.61177363432862
fengwu,48,1.0,95.69777634259755
gru,48,0.5,91.85003840260259
transformer,48,0.5,106.76780714685403
cliper,48,1.0,49.860141350380346
cons_aiwp,48,1.0,76.57182130134512
pangu,72,1.0,143.69472463072108
fengwu,72,1.0,85.89258956624681
gru,72,0.5,285.4020347189922
transformer,72,0.5,240.28245060917646
cliper,72,1.0,214.10010172977204
cons_aiwp,72,1.0,114.86072443697978
gru,24,1.0,265.6901771606304
transformer,24,1.0,285.1389969784742
cliper,24,0.75,223.20429671962867
gru,48,1.0,375.12498827302556
transformer,48,1.0,447.5642306272458
cliper,48,0.75,338.01105068899324
gru,72,1.0,315.6431345762116
transformer,72,1.0,362.29229617022384
cliper,72,0.75,241.24489231457318
gru,24,1.0,165.56561984834136
transformer,24,1.0,187.83501061267188
cliper,24,0.75,97.80722811549317
gru,48,1.0,281.38050201157466
transformer,48,1.0,306.38508767319536
cliper,48,0.75,317.3977610209411
gru,72,1.0,219.7261751573169
transformer,72,1.0,213.33222632363876
cliper,72,0.75,442.7726298942667
gru,24,1.0,332.5119952940985
transformer,24,1.0,345.2256534522185
cliper,24,1.0,324.8015889107267
gru,24,1.0,204.04139245776773
transformer,24,1.0,215.70965267113516
cliper,24,0.5,238.24466342096977
gru,48,1.0,345.5872908315305
transformer,48,1.0,346.32902031274944
cliper,48,0.5,453.0623544612854
gru,72,1.0,426.5735206583156
transformer,72,1.0,436.2549761328169
cliper,72,0.5,622.7479167783595
gru,24,1.0,161.26432236771797
transformer,24,1.0,136.8071465887305
cliper,24,0.75,243.97642977705775
gru,48,1.0,457.5295635937943
transformer,48,1.0,460.77138653395394
cliper,48,0.75,676.586750484223
gru,72,1.0,714.8270321025486
transformer,72,1.0,770.0669306273037
cliper,72,0.75,1047.0425223031712
gru,24,1.0,367.822820220531
transformer,24,1.0,352.1466662008596
cliper,24,1.0,270.4409526538394
gru,48,1.0,674.2530191331224
transformer,48,1.0,676.0185283514486
cliper,48,0.75,504.7580406536062
gru,72,1.0,1253.621732251168
transformer,72,1.0,1228.9996311041264
cliper,72,0.75,933.4412548498052
gru,24,1.0,219.4538435500972
transformer,24,1.0,210.75985568481974
cliper,24,1.0,256.90212447864707
gru,48,1.0,940.6883662573533
transformer,48,1.0,920.62084473049
cliper,48,1.0,945.0858947167799
gru,72,1.0,1941.4019691734818
transformer,72,1.0,1922.8290857868742
cliper,72,1.0,1902.5916893826186
gru,24,1.0,98.69758028149383
transformer,24,1.0,131.5913540804252
cliper,24,0.75,172.95690399534186
gru,48,1.0,230.48297873952413
transformer,48,1.0,309.4265227412208
cliper,48,0.75,448.1025714324963
gru,72,1.0,235.5231186575469
transformer,72,1.0,350.78924998675865
cliper,72,0.75,590.5052682908739
gru,24,1.0,275.30245375680204
transformer,24,1.0,432.53649879207904
cliper,24,0.5,83.29895574770686
pangu,24,1.0,27.447463990891563
fengwu,24,1.0,27.447463990891563
gru,24,0.5,85.26749469991744
transformer,24,0.5,111.9721923864666
cliper,24,2.0,17.66410426305321
cons_aiwp,24,1.0,27.447463990891563
pangu,48,1.0,61.15720965450739
fengwu,48,1.0,34.82592756896003
gru,48,0.5,297.0763706123048
transformer,48,0.5,365.12872833244063
cliper,48,1.5,190.3770955242329
cons_aiwp,48,1.0,24.396260965822606
pangu,72,1.0,76.44386099218428
fengwu,72,1.0,75.37811481202847
gru,72,0.5,339.09850367485376
transformer,72,0.5,432.80806235412246
cliper,72,1.0,314.0333183424618
cons_aiwp,72,1.0,74.6533566429459
gru,24,1.0,556.595298214115
transformer,24,1.0,564.7699011675082
cliper,24,0.5,516.705630954506
gru,24,1.0,445.491052138938
transformer,24,1.0,586.6869956757333
cliper,24,0.75,523.8929960224218
pangu,24,0.75,35.226073046631384
fengwu,24,0.75,28.318985210244893
gru,24,1.25,120.08365997060717
transformer,24,1.25,142.03067945483744
