methods: {'agent_full_qwen14b': 1429, 'agent_full_qwen72b': 1431, 'hybrid_static': 1319, 'hybrid_rules': 1319, 'cons_aiwp': 1319, 'cons_bc': 1431}
                  stratum             method  lead    n  track_km  track_med_km  vmax_mae_kt  vmax_bias_kt  n_storms
                 basin=SI agent_full_qwen14b    24  238      67.0          47.7         13.4          -2.8        27
                 basin=SI agent_full_qwen72b    24  238      68.7          52.1         14.4          -2.0        27
                 basin=SI      hybrid_static    24  238      66.8          45.6         13.2           0.8        27
                 basin=SI       hybrid_rules    24  238      66.8          45.6         13.1           1.8        27
                 basin=SI          cons_aiwp    24  238      66.8          45.6         26.5         -25.9        27
                 basin=SI            cons_bc    24  238      69.3          52.8         13.2           0.8        27
                 basin=SI agent_full_qwen14b    48  215     116.2          75.1         18.5          -2.1        25
                 basin=SI agent_full_qwen72b    48  215     118.2          80.5         18.7          -1.8        25
                 basin=SI      hybrid_static    48  215     112.0          67.7         18.8           0.7        25
                 basin=SI       hybrid_rules    48  215     112.0          67.7         18.8           0.7        25
                 basin=SI          cons_aiwp    48  215     112.0          67.7         26.4         -25.3        25
                 basin=SI            cons_bc    48  215     122.0          84.9         18.8           0.7        25
                 basin=SI agent_full_qwen14b    72  189     157.6         115.2         20.7           0.1        23
                 basin=SI agent_full_qwen72b    72  189     160.0         118.3         20.4          -0.8        23
                 basin=SI      hybrid_static    72  189     153.8         103.3         21.1           1.9        23
                 basin=SI       hybrid_rules    72  189     153.8         103.3         21.1           1.9        23
                 basin=SI          cons_aiwp    72  189     153.8         103.3         24.4         -23.1        23
                 basin=SI            cons_bc    72  189     166.9         124.7         21.1           1.9        23
                 basin=SP agent_full_qwen14b    24   82      89.0          66.6          9.5           1.2        16
                 basin=SP agent_full_qwen72b    24   82      89.4          73.9         10.7           0.4        16
                 basin=SP      hybrid_static    24   82      87.5          61.1         11.9           5.8        16
                 basin=SP       hybrid_rules    24   82      87.5          61.1         12.4           6.3        16
                 basin=SP          cons_aiwp    24   82      87.5          61.1         15.4         -13.9        16
                 basin=SP            cons_bc    24   82      91.0          69.3         11.9           5.8        16
                 basin=SP agent_full_qwen14b    48   60     133.9          96.9         14.3           3.9        13
                 basin=SP agent_full_qwen72b    48   60     137.6         106.2         15.8           4.2        13
                 basin=SP      hybrid_static    48   60     119.6          81.2         16.6           8.4        13
                 basin=SP       hybrid_rules    48   60     119.6          81.2         16.6           8.4        13
                 basin=SP          cons_aiwp    48   60     119.6          81.2         16.1         -14.4        13
                 basin=SP            cons_bc    48   60     141.7         109.8         16.6           8.4        13
                 basin=SP agent_full_qwen14b    72   39     173.0         157.4         24.2           8.8         9
                 basin=SP agent_full_qwen72b    72   39     181.0         167.5         21.1           5.0         9
                 basin=SP      hybrid_static    72   39     162.5         148.7         23.3           9.5         9
                 basin=SP       hybrid_rules    72   39     162.5         148.7         23.3           9.5         9
                 basin=SP          cons_aiwp    72   39     162.5         148.7         17.8         -14.7         9
                 basin=SP            cons_bc    72   39     184.2         165.0         23.3           9.5         9
                 basin=WP agent_full_qwen14b    24  354      61.3          45.6         15.1          -1.2        43
                 basin=WP agent_full_qwen72b    24  354      63.0          47.5         14.5          -0.7        43
                 basin=WP      hybrid_static    24  354      56.7          42.6         14.4           0.5        43
                 basin=WP       hybrid_rules    24  354      56.7          42.6         14.3           2.0        43
                 basin=WP          cons_aiwp    24  354      56.7          42.6         28.9         -28.6        43
                 basin=WP            cons_bc    24  354      64.2          49.0         14.4           0.5        43
                 basin=WP agent_full_qwen14b    48  309     111.1          78.8         19.8           0.7        38
                 basin=WP agent_full_qwen72b    48  309     113.7          79.1         19.3          -0.0        38
                 basin=WP      hybrid_static    48  309     104.3          70.8         19.8           0.2        38
                 basin=WP       hybrid_rules    48  309     104.3          70.8         19.8           0.2        38
                 basin=WP          cons_aiwp    48  309     104.3          70.8         31.0         -30.7        38
                 basin=WP            cons_bc    48  309     116.8          83.1         19.8           0.2        38
                 basin=WP agent_full_qwen14b    72  257     184.9         128.4         21.3           1.1        29
                 basin=WP agent_full_qwen72b    72  257     189.5         134.9         20.1          -0.8        29
                 basin=WP      hybrid_static    72  257     174.9         110.3         21.1          -0.1        29
                 basin=WP       hybrid_rules    72  257     174.9         110.3         21.1          -0.1        29
                 basin=WP          cons_aiwp    72  257     174.9         110.3         32.1         -31.7        29
