building calib matrix ...
building test matrix ...
calib n=1343 events=131 (0.098); test n=1405 events=97 (0.069)
homogeneous RI sample: n=1287 events=87
                      method    n  events  threshold  hits  misses  false_alarms      pod      far      csi  brier    bss  pod_lo  pod_hi  csi_lo  csi_hi  bss_lo  bss_hi  csi_vs_office_p  far_lo  far_hi
                    ri_logit 1287      87      0.193    46      41           138 0.528736 0.750000 0.204444 0.0558  0.127   0.415   0.635   0.147   0.264   0.031   0.211            0.068   0.674   0.819
                     ri_gbdt 1287      87      0.185    45      42           136 0.517241 0.751381 0.201794 0.0589  0.079   0.409   0.618   0.142   0.258  -0.032   0.169            0.074   0.675   0.825
          agent_full_qwen72b 1287      87      0.140    54      33           200 0.620690 0.787402 0.188153 0.0578  0.095   0.484   0.735   0.134   0.243   0.042   0.141            0.210   0.727   0.847
                   ri_analog 1287      87      0.266    42      45           150 0.482759 0.781250 0.177215 0.0603  0.057   0.391   0.576   0.126   0.228  -0.056   0.139            0.602   0.713   0.847
    agent_no_auditor_qwen14b 1287      87      0.140    63      24           270 0.724138 0.810811 0.176471 0.0644 -0.007   0.607   0.831   0.129   0.228  -0.141   0.095            0.488   0.756   0.862
                hybrid_rules 1287      87      0.500    24      63            51 0.275862 0.680000 0.173913 0.0629  0.016   0.176   0.370   0.104   0.238  -0.090   0.104            0.864   0.548   0.800
                    ri_rules 1287      87      0.500    24      63            51 0.275862 0.680000 0.173913 0.0886 -0.386   0.176   0.370   0.104   0.238  -0.680  -0.144            0.864   0.548   0.800
        agent_single_qwen14b 1287      87      0.140    42      45           155 0.482759 0.786802 0.173554 0.0599  0.064   0.358   0.605   0.115   0.229  -0.006   0.123            0.826   0.717   0.858
     agent_full_qwen14b_anon 1287      87      0.140    53      34           221 0.609195 0.806569 0.172078 0.0608  0.049   0.488   0.726   0.124   0.219  -0.032   0.109            0.778   0.753   0.860
          agent_full_qwen14b 1287      87      0.140    60      27           269 0.689655 0.817629 0.168539 0.0643 -0.006   0.576   0.798   0.124   0.214  -0.110   0.071              NaN   0.768   0.867
 agent_single_refine_qwen14b 1287      87      0.140    59      28           275 0.678161 0.823353 0.162983 0.0621  0.028   0.576   0.786   0.119   0.214  -0.055   0.100            0.752   0.768   0.871
             ri_rules_graded 1287      87      0.143    55      32           262 0.632184 0.826498 0.157593 0.0619  0.032   0.512   0.737   0.113   0.201  -0.093   0.129            0.554   0.777   0.875
           agent_full_qwen7b 1287      87      0.140    65      22           342 0.747126 0.840295 0.151515 0.0612  0.043   0.652   0.840   0.114   0.193  -0.007   0.084            0.228   0.797   0.880
agent_no_diagnostics_qwen14b 1287      87      0.140    62      25           323 0.712644 0.838961 0.151220 0.0683 -0.069   0.606   0.807   0.108   0.199  -0.203   0.034            0.186   0.788   0.885
    agent_no_analogs_qwen14b 1287      87      0.140    76      11           601 0.873563 0.887740 0.110465 0.0927 -0.449   0.783   0.945   0.082   0.142  -0.684  -0.268            0.000   0.857   0.916
                        clim 1287      87      0.500     0      87             0 0.000000      NaN 0.000000 0.0639  0.000   0.000   0.000   0.000   0.000   0.000   0.000            0.000     NaN     NaN
wrote /data/yuxiaoning/projects/stormdesk_runtime/results/test_ri_baselines.csv and _ri_curves.json
