building calib matrix ...
building test matrix ...
calib n=1343 events=131 (0.098); test n=1405 events=97 (0.069)
homogeneous RI sample: n=204 events=19
                           method   n  events  threshold  hits  misses  false_alarms      pod      far      csi  brier    bss  pod_lo  pod_hi  csi_lo  csi_hi  bss_lo  bss_hi  csi_vs_office_p  far_lo  far_hi
             agent_single_qwen14b 204      19      0.140    10       9            18 0.526316 0.642857 0.270270 0.0719  0.149   0.200   0.818   0.080   0.434   0.018   0.267            0.060   0.433   0.895
                         ri_logit 204      19      0.193     9      10            18 0.473684 0.666667 0.243243 0.0714  0.155   0.200   0.769   0.091   0.385  -0.034   0.319            0.110   0.450   0.875
               agent_full_qwen72b 204      19      0.140    10       9            31 0.526316 0.756098 0.200000 0.0774  0.084   0.000   0.847   0.000   0.348  -0.074   0.207            0.368   0.600   1.000
                agent_full_qwen7b 204      19      0.140    13       6            50 0.684211 0.793651 0.188406 0.0804  0.049   0.538   0.889   0.077   0.289  -0.068   0.111            0.136   0.666   0.918
            agent_full_qwen14b_r3 204      19      0.140    10       9            35 0.526316 0.777778 0.185185 0.0817  0.033   0.312   0.714   0.062   0.316  -0.194   0.155            0.406   0.614   0.927
                     hybrid_rules 204      19      0.500     4      15             3 0.210526 0.428571 0.181818 0.0764  0.096   0.000   0.400   0.000   0.348  -0.128   0.233            0.625   0.000   1.000
                         ri_rules 204      19      0.500     4      15             3 0.210526 0.428571 0.181818 0.0882 -0.044   0.000   0.400   0.000   0.348  -0.552   0.213            0.625   0.000   1.000
                        ri_analog 204      19      0.266     7      12            21 0.368421 0.750000 0.175000 0.0796  0.058   0.181   0.471   0.049   0.291  -0.226   0.165            0.462   0.516   0.938
                          ri_gbdt 204      19      0.185     7      12            21 0.368421 0.750000 0.175000 0.0791  0.063   0.125   0.526   0.038   0.282  -0.124   0.170            0.537   0.560   0.950
                  ri_rules_graded 204      19      0.143    11       8            45 0.578947 0.803571 0.171875 0.0737  0.127   0.333   0.750   0.054   0.297  -0.127   0.279            0.440   0.652   0.940
     agent_no_diagnostics_qwen14b 204      19      0.140    11       8            48 0.578947 0.813559 0.164179 0.0831  0.017   0.375   0.813   0.049   0.281  -0.390   0.166            0.543   0.676   0.947
      agent_single_refine_qwen14b 204      19      0.140    10       9            42 0.526316 0.807692 0.163934 0.0836  0.011   0.176   0.818   0.033   0.309  -0.206   0.167            0.635   0.644   0.962
agent_no_auditor_qwen14b_detaudit 204      19      0.140    10       9            44 0.526316 0.814815 0.158730 0.0874 -0.034   0.199   0.750   0.039   0.272  -0.471   0.148            0.675   0.684   0.956
         agent_no_auditor_qwen14b 204      19      0.140    10       9            44 0.526316 0.814815 0.158730 0.0874 -0.034   0.199   0.750   0.039   0.272  -0.471   0.148            0.675   0.684   0.956
          agent_full_qwen14b_anon 204      19      0.140     8      11            32 0.421053 0.800000 0.156863 0.0790  0.065   0.143   0.636   0.039   0.269  -0.119   0.166            0.697   0.646   0.951
            agent_full_qwen14b_r2 204      19      0.140     8      11            34 0.421053 0.809524 0.150943 0.0872 -0.032   0.153   0.583   0.034   0.247  -0.240   0.044            0.763   0.667   0.958
               agent_full_qwen14b 204      19      0.140     8      11            38 0.421053 0.826087 0.140351 0.0860 -0.018   0.300   0.548   0.061   0.206  -0.190   0.053              NaN   0.734   0.932
         agent_no_analogs_qwen14b 204      19      0.140    15       4            97 0.789474 0.866071 0.129310 0.1104 -0.307   0.526   1.000   0.053   0.202  -1.057  -0.033            0.625   0.789   0.946
               agent_free_qwen14b 204      19      0.140     5      14            20 0.263158 0.800000 0.128205 0.0843  0.002   0.000   0.680   0.000   0.350  -0.201   0.164            0.889   0.514   1.000
                             clim 204      19      0.500     0      19             0 0.000000      NaN 0.000000 0.0845  0.000   0.000   0.000   0.000   0.000   0.000   0.000            0.000     NaN     NaN
wrote /data/USER/projects/stormdesk_runtime/results/test_ri_baselines.csv and _ri_curves.json
