/data/yuxiaoning/projects/stormdesk/scripts/12_ri_baselines.py:122: RuntimeWarning: overflow encountered in exp
  q = 1 / (1 + np.exp(-z))
building calib matrix ...
building test matrix ...
calib n=1343 events=131 (0.098); test n=1405 events=97 (0.069)
homogeneous RI sample: n=1400 events=97
                  method    n  events  threshold  hits  misses  false_alarms      pod      far      csi  brier    bss  bss_test  roc_auc  pr_auc  log_loss    cal_slope  cal_intercept  pod_lo  pod_hi  csi_lo  csi_hi  bss_lo  bss_hi  csi_vs_office_p  csi_diff_lo90  csi_diff_hi90 csi_equiv_pm05  bss_vs_office_p  csi_testopt  thr_testopt  far_lo  far_hi
                ri_logit 1400      97      0.193    53      44           163 0.546392 0.754630 0.203846 0.0590  0.096     0.085    0.833   0.276    0.2076        0.905  -5.830000e-01   0.438   0.653   0.151   0.263   0.002   0.181            0.033          0.008          0.069          False            0.004        0.220         0.15   0.682   0.820
                 ri_gbdt 1400      97      0.185    50      47           153 0.515464 0.753695 0.200000 0.0617  0.056     0.044    0.819   0.249    0.2180        0.861  -6.400000e-01   0.416   0.617   0.144   0.259  -0.049   0.146            0.060          0.003          0.066          False            0.075        0.201         0.20   0.680   0.822
      agent_full_qwen72b 1400      97      0.140    56      41           214 0.577320 0.792593 0.180064 0.0595  0.088     0.077    0.803   0.199    0.2176        1.256   8.800000e-02   0.452   0.695   0.129   0.235   0.038   0.132            0.393         -0.012          0.041           True            0.000        0.186         0.18   0.733   0.851
      agent_mini_qwen14b 1400      97      0.140    62      35           261 0.639175 0.808050 0.173184 0.0630  0.035     0.023    0.795   0.180    0.2217        0.848  -7.250000e-01   0.540   0.735   0.128   0.223  -0.044   0.101            0.485         -0.010          0.025           True            0.029        0.173         0.18   0.752   0.858
      agent_full_qwen14b 1400      97      0.140    65      32           294 0.670103 0.818942 0.166240 0.0658 -0.008    -0.020    0.783   0.160    0.2326        0.902  -8.150000e-01   0.566   0.775   0.123   0.212  -0.107   0.067              NaN            NaN            NaN            NaN              NaN        0.167         0.15   0.771   0.867
               ri_analog 1400      97      0.266    44      53           169 0.453608 0.793427 0.165414 0.0625  0.043     0.031    0.782   0.206    0.2234        0.813  -7.850000e-01   0.362   0.541   0.119   0.217  -0.060   0.129            0.939         -0.028          0.027           True            0.068        0.178         0.11   0.724   0.855
    agent_single_qwen14b 1400      97      0.140    42      55           169 0.432990 0.800948 0.157895 0.0624  0.045     0.033    0.781   0.171    0.2221        0.759  -6.660000e-01   0.307   0.546   0.105   0.214  -0.020   0.103            0.633         -0.041          0.026           True            0.109        0.166         0.10   0.728   0.865
                ri_rules 1400      97      0.500    24      73            56 0.247423 0.700000 0.156863 0.0921 -0.411    -0.429    0.602   0.126    0.8488 -7639476.407  -3.510431e+07   0.155   0.337   0.093   0.221  -0.675  -0.189            0.713         -0.055          0.039          False            0.000        0.157         0.01   0.579   0.814
         ri_rules_graded 1400      97      0.143    56      41           286 0.577320 0.836257 0.146214 0.0647  0.009    -0.003    0.758   0.171    0.2338        0.808  -8.570000e-01   0.461   0.699   0.106   0.190  -0.099   0.108            0.209         -0.045          0.007           True            0.699        0.157         0.15   0.788   0.881
agent_no_analogs_qwen14b 1400      97      0.140    85      12           639 0.876289 0.882597 0.115489 0.0923 -0.413    -0.431    0.725   0.124    0.3153        0.909  -1.487000e+00   0.797   0.946   0.087   0.145  -0.635  -0.246            0.000         -0.071         -0.029          False            0.000        0.119         0.21   0.853   0.911
                    clim 1400      97      0.500     0      97             0 0.000000      NaN 0.000000 0.0653  0.000    -0.012    0.500   0.069    0.2568        1.139  -6.300000e-02   0.000   0.000   0.000   0.000   0.000   0.000            0.000         -0.204         -0.130          False            0.797        0.069         0.01     NaN     NaN
wrote /data/yuxiaoning/projects/stormdesk_runtime/results/test_ri_baselines.csv and _ri_curves.json
