/data/USER/projects/stormdesk/scripts/12_ri_baselines.py:122: RuntimeWarning: overflow encountered in exp
  q = 1 / (1 + np.exp(-z))
building calib matrix ...
building test matrix ...
calib n=1343 events=131 (0.098); test n=1405 events=97 (0.069)
homogeneous RI sample: n=1287 events=87
                      method    n  events  threshold  hits  misses  false_alarms      pod      far      csi  brier    bss  bss_test  roc_auc  pr_auc  log_loss    cal_slope  cal_intercept  pod_lo  pod_hi  csi_lo  csi_hi  bss_lo  bss_hi  csi_vs_office_p  csi_diff_lo90  csi_diff_hi90 csi_equiv_pm05  bss_vs_office_p  csi_testopt  thr_testopt  far_lo  far_hi
                    ri_logit 1287      87      0.193    46      41           138 0.528736 0.750000 0.204444 0.0558  0.127     0.115    0.836   0.306    0.1994        0.947  -4.740000e-01   0.413   0.639   0.146   0.263   0.030   0.213            0.080          0.003          0.071          False            0.001        0.225         0.15   0.676   0.821
                     ri_gbdt 1287      87      0.185    45      42           136 0.517241 0.751381 0.201794 0.0589  0.079     0.066    0.825   0.266    0.2108        0.894  -5.900000e-01   0.409   0.620   0.142   0.260  -0.032   0.170            0.092          0.001          0.068          False            0.015        0.208         0.20   0.675   0.825
          agent_full_qwen72b 1287      87      0.140    54      33           200 0.620690 0.787402 0.188153 0.0578  0.095     0.082    0.814   0.208    0.2126        1.305   1.320000e-01   0.493   0.737   0.135   0.243   0.043   0.142            0.216         -0.006          0.046           True            0.000        0.194         0.18   0.727   0.846
          agent_mini_qwen14b 1287      87      0.140    58      29           236 0.666667 0.802721 0.179567 0.0612  0.043     0.029    0.806   0.183    0.2150        0.888  -6.800000e-01   0.557   0.768   0.131   0.228  -0.045   0.108            0.295         -0.008          0.029           True            0.018        0.180         0.14   0.748   0.856
                   ri_analog 1287      87      0.266    42      45           150 0.482759 0.781250 0.177215 0.0603  0.057     0.044    0.798   0.218    0.2152        0.860  -7.330000e-01   0.390   0.576   0.127   0.229  -0.054   0.140            0.585         -0.020          0.038           True            0.030        0.183         0.11   0.713   0.846
    agent_no_auditor_qwen14b 1287      87      0.140    63      24           270 0.724138 0.810811 0.176471 0.0644 -0.007    -0.021    0.802   0.199    0.2297        0.933  -8.840000e-01   0.610   0.829   0.130   0.227  -0.135   0.094            0.488         -0.012          0.028           True            0.947        0.181         0.17   0.757   0.861
                    ri_rules 1287      87      0.500    24      63            51 0.275862 0.680000 0.173913 0.0886 -0.386    -0.405    0.617   0.137    0.8159 -7752848.960  -3.562527e+07   0.177   0.370   0.106   0.240  -0.677  -0.146            0.869         -0.045          0.055          False            0.000        0.174         0.01   0.549   0.795
                hybrid_rules 1287      87      0.500    24      63            51 0.275862 0.680000 0.173913 0.0629  0.016     0.002    0.617   0.137    0.2409        0.813  -9.170000e-01   0.177   0.370   0.106   0.240  -0.090   0.104            0.869         -0.045          0.055          False            0.577        0.174         0.09   0.549   0.795
        agent_single_qwen14b 1287      87      0.140    42      45           155 0.482759 0.786802 0.173554 0.0599  0.064     0.050    0.797   0.183    0.2131        0.811  -5.790000e-01   0.358   0.600   0.115   0.230  -0.005   0.124            0.831         -0.030          0.040           True            0.034        0.179         0.18   0.716   0.857
     agent_full_qwen14b_anon 1287      87      0.140    53      34           221 0.609195 0.806569 0.172078 0.0608  0.049     0.035    0.799   0.190    0.2166        0.955  -5.900000e-01   0.491   0.728   0.126   0.218  -0.031   0.110            0.779         -0.021          0.028           True            0.031        0.178         0.18   0.753   0.859
          agent_full_qwen14b 1287      87      0.140    60      27           269 0.689655 0.817629 0.168539 0.0643 -0.006    -0.020    0.785   0.160    0.2287        0.911  -8.190000e-01   0.576   0.798   0.125   0.216  -0.104   0.071              NaN            NaN            NaN            NaN              NaN        0.169         0.15   0.767   0.865
 agent_single_refine_qwen14b 1287      87      0.140    59      28           275 0.678161 0.823353 0.162983 0.0621  0.028     0.015    0.784   0.169    0.2242        0.904  -7.090000e-01   0.574   0.779   0.120   0.211  -0.053   0.098            0.736         -0.031          0.022           True            0.137        0.163         0.14   0.772   0.870
             ri_rules_graded 1287      87      0.143    55      32           262 0.632184 0.826498 0.157593 0.0619  0.032     0.018    0.784   0.187    0.2246        0.875  -7.740000e-01   0.517   0.739   0.115   0.202  -0.088   0.130            0.522         -0.037          0.016           True            0.361        0.174         0.15   0.777   0.873
           agent_full_qwen7b 1287      87      0.140    65      22           342 0.747126 0.840295 0.151515 0.0612  0.043     0.029    0.786   0.167    0.2259        1.304  -2.900000e-02   0.655   0.836   0.114   0.192  -0.007   0.082            0.198         -0.039          0.005           True            0.062        0.158         0.18   0.797   0.880
agent_no_diagnostics_qwen14b 1287      87      0.140    62      25           323 0.712644 0.838961 0.151220 0.0683 -0.069    -0.084    0.776   0.153    0.2417        0.880  -1.018000e+00   0.606   0.808   0.109   0.198  -0.201   0.033            0.186         -0.037          0.004           True            0.040        0.156         0.26   0.789   0.884
    agent_no_analogs_qwen14b 1287      87      0.140    76      11           601 0.873563 0.887740 0.110465 0.0927 -0.449    -0.470    0.719   0.119    0.3168        0.874  -1.555000e+00   0.783   0.947   0.083   0.140  -0.681  -0.274            0.000         -0.081         -0.035          False            0.000        0.113         0.21   0.857   0.916
                        clim 1287      87      0.500     0      87             0 0.000000      NaN 0.000000 0.0639  0.000    -0.014    0.500   0.068    0.2530        1.149  -6.700000e-02   0.000   0.000   0.000   0.000   0.000   0.000            0.000         -0.208         -0.130          False            0.852        0.068         0.01     NaN     NaN
wrote /data/USER/projects/stormdesk_runtime/results/test_ri_baselines.csv and _ri_curves.json
