method,lead,n,track_km,track_med_km,vmax_mae_kt,vmax_bias_kt,n_storms,track_skill_pct,vmax_skill_pct
cons_bc,24,1431,88.74473610466335,54.749478698257555,12.123219373219372,1.223931623931624,180,0.0,0.0
cons_aiwp,24,1319,72.15907945155352,44.189062005867335,26.161431870669745,-25.86412625096228,165,18.689172317273115,-115.79607747147831
hybrid_static,24,1319,72.15907945155352,44.189062005867335,12.022478829869131,1.14072363356428,165,18.689172317273115,0.8309718751174361
learned_gbt,24,1431,77.22460573785484,47.91969954946718,11.161724875267284,1.3399144689950107,180,12.981198516633084,7.93101624537179
learned_gbt_bounded,24,1431,77.9346557965667,47.92091152744163,11.161724875267284,1.3399144689950107,180,12.181094657093242,7.93101624537179
agent_full_qwen7b,24,1428,88.30189297695989,54.08463511443328,13.64768022840828,-2.227266238401142,180,0.49900776895789806,-12.574719703220882
agent_full_qwen14b,24,1429,86.04904590211588,51.209878023040964,12.59657631954351,-1.3751783166904423,180,3.037577574593537,-3.904548220663239
agent_full_qwen72b,24,1431,87.68554916401725,54.92870004307037,12.860754985754985,-1.1318376068376066,180,1.193520863476253,-6.083661359497094
agent_mini_qwen14b,24,1430,88.7814580292772,54.822702593212064,12.015253029223095,-1.4939415538132572,180,-0.04137927073279992,0.8905748602947782
agent_single_refine_qwen14b,24,1427,85.6834878414798,49.77704936861708,11.942142857142857,1.323,180,3.449498412585489,1.4936339144082496
agent_full_qwen14b_anon,24,1430,85.43413862872664,52.11394984751201,12.429650748396297,-1.999857448325018,180,3.7304719369859485,-2.5276402723012836
agent_free_qwen14b,24,1431,4965.5284198990985,252.87808502893435,12.653133903133902,2.997863247863248,180,-5495.293465116486,-4.371071029904235
cons_bc,48,1228,163.1287436127966,90.68923566862874,16.74050847457627,1.3901694915254235,158,0.0,0.0
cons_aiwp,48,1138,127.20691541727425,70.0593710571025,26.933333333333334,-26.56255707762557,145,22.020538747473363,-60.88718795033531
hybrid_static,48,1138,127.20691541727425,70.0593710571025,16.46264840182648,1.1576255707762557,145,22.020538747473363,1.6598066490738534
learned_gbt,48,1228,146.55736769931045,80.2112999100611,15.61326530612245,1.0848639455782314,158,10.158464747831363,6.733625625325291
learned_gbt_bounded,48,1228,147.86493227725782,80.1287226660588,15.61326530612245,1.0848639455782314,158,9.356910987906002,6.733625625325291
agent_full_qwen7b,48,1225,162.24263078034573,89.62995287457984,18.132115548003398,-0.8751911639762107,158,0.5431984657186754,-8.312812454535385
agent_full_qwen14b,48,1226,157.5819315000089,85.66338371547366,16.931409168081494,0.17979626485568756,158,3.400266556305769,-1.1403518226172398
agent_full_qwen72b,48,1228,160.1502997214664,86.86377175976367,16.660847457627117,-0.25288135593220334,158,1.825824085545488,0.4758578096366294
agent_mini_qwen14b,48,1228,163.1287436127966,90.68923566862874,16.603305084745763,0.18228813559322046,158,0.0,0.8195891423422238
agent_single_refine_qwen14b,48,1224,156.6366764319679,82.79229415010414,16.79362244897959,3.1094387755102044,158,3.979719966603982,-0.31727814291892253
agent_full_qwen14b_anon,48,1227,157.98574271150687,85.55599448432089,16.742324003392703,-0.4529262086513995,158,3.1527251343866065,-0.01084512348708059
agent_free_qwen14b,48,1228,4967.9433852221955,551.3577697821122,17.611016949152543,4.360169491525424,158,-2945.4126447599797,-5.200012149561106
cons_bc,72,1006,258.6516014311287,139.32605252308736,18.244080338266386,1.4798097251585625,137,0.0,0.0
cons_aiwp,72,936,216.69901646574846,105.71481400536956,26.66572077185017,-26.143586833144155,123,16.219727515026033,-46.16094797565465
hybrid_static,72,936,216.69901646574846,105.71481400536956,17.90544835414302,1.187400681044268,123,16.219727515026033,1.8561197815660633
learned_gbt,72,1006,229.64640476007688,119.21325391346555,17.562778366914106,1.3316012725344644,137,11.214002353190558,3.7343727867897534
learned_gbt_bounded,72,1006,231.76970541409997,119.89028756124037,17.562778366914106,1.3316012725344644,137,10.393090886849427,3.7343727867897534
agent_full_qwen7b,72,1005,257.57863838171323,135.78753738420022,19.844444444444445,0.039153439153439155,137,0.41482946306101875,-8.771963708257443
agent_full_qwen14b,72,1005,247.80221430056383,128.01653505060133,18.79820105820106,1.6202116402116402,137,4.1945949959462165,-3.0372630993759775
agent_full_qwen72b,72,1006,252.0883391608849,135.04567896875494,17.841543340380547,-0.32632135306553917,137,2.5374914494745164,2.206397858496219
agent_mini_qwen14b,72,1006,258.6516014311287,139.32605252308736,18.861733615221983,2.3972515856236787,137,0.0,-3.3854996552503036
agent_single_refine_qwen14b,72,1002,249.03106579927606,122.84538074481824,18.446871686108167,3.6646871686108162,137,3.7194958695874583,-1.111546014278577
agent_full_qwen14b_anon,72,1005,249.34282727319393,126.88502748742312,18.700740740740738,1.2264550264550265,137,3.598962506487102,-2.503060686027133
agent_free_qwen14b,72,1006,4909.052809359978,878.7918552209619,19.9661733615222,5.416490486257928,137,-1797.940233966467,-9.439187897258796
