method,events,hits,misses,false_alarms,pod,far,csi
cons_bc,97,0,97,1,0.0,1.0,0.0
cons_aiwp,88,0,88,0,0.0,,0.0
hybrid_static,88,0,88,1,0.0,1.0,0.0
learned_gbt,97,10,87,16,0.10309278350515463,0.6153846153846154,0.08849557522123894
learned_gbt_bounded,97,10,87,16,0.10309278350515463,0.6153846153846154,0.08849557522123894
agent_full_qwen7b,97,2,95,5,0.020618556701030927,0.7142857142857143,0.0196078431372549
agent_full_qwen14b,97,0,97,10,0.0,1.0,0.0
agent_full_qwen72b,97,3,94,14,0.030927835051546393,0.8235294117647058,0.02702702702702703
agent_mini_qwen14b,97,1,96,3,0.010309278350515464,0.75,0.01
agent_single_refine_qwen14b,97,0,97,3,0.0,1.0,0.0
agent_full_qwen14b_anon,96,0,96,5,0.0,1.0,0.0
agent_free_qwen14b,97,1,96,3,0.010309278350515464,0.75,0.01
