method,events,hits,misses,false_alarms,pod,far,csi
cons_bc,97,0,97,1,0.0,1.0,0.0
cons_aiwp,88,0,88,0,0.0,,0.0
hybrid_static,88,0,88,1,0.0,1.0,0.0
static_convex,97,0,97,1,0.0,1.0,0.0
gbt_static,97,0,97,1,0.0,1.0,0.0
gbt_case,97,0,97,1,0.0,1.0,0.0
gbt_shuffled,97,0,97,1,0.0,1.0,0.0
learned_gbt2,97,10,87,16,0.10309278350515463,0.6153846153846154,0.08849557522123894
learned_gbt_contract,97,18,79,52,0.18556701030927836,0.7428571428571429,0.12080536912751678
analog_median,88,10,78,16,0.11363636363636363,0.6153846153846154,0.09615384615384616
analog_linear,88,3,85,5,0.03409090909090909,0.625,0.03225806451612903
agent_full_qwen14b,97,0,97,10,0.0,1.0,0.0
agent_mini_qwen14b,97,1,96,3,0.010309278350515464,0.75,0.01
