method,events,hits,misses,false_alarms,pod,far,csi
hybrid_static,88,0,88,1,0.0,1.0,0.0
static_convex,97,0,97,1,0.0,1.0,0.0
static_basin,97,0,97,1,0.0,1.0,0.0
learned_gbt2,97,10,87,16,0.10309278350515463,0.6153846153846154,0.08849557522123894
learned_gbt_contract,97,18,79,52,0.18556701030927836,0.7428571428571429,0.12080536912751678
aiwp_postproc,88,7,81,14,0.07954545454545454,0.6666666666666666,0.06862745098039216
agent_full_qwen14b,97,0,97,10,0.0,1.0,0.0
agent_full_qwen14b_gateadv,97,1,96,8,0.010309278350515464,0.8888888888888888,0.009523809523809525
agent_single_refine_qwen14b,97,0,97,3,0.0,1.0,0.0
agent_featmatch_qwen14b,97,0,97,7,0.0,1.0,0.0
agent_featmatch_fs_qwen14b,97,1,96,3,0.010309278350515464,0.75,0.01
