method,lead,n,track_km,track_med_km,vmax_mae_kt,vmax_bias_kt,n_storms,track_skill_pct,vmax_skill_pct
persistence,24,1282,212.32987879770462,165.7361504557213,14.907176287051483,1.3970358814352575,163,-6.7317564139434385,-13.666642875835652
cliper,24,1282,198.93786622813025,158.8439621897055,13.114820592823714,0.5170046801872076,163,0.0,0.0
gru,24,1282,175.19697766050456,135.60217564645552,12.737363494539782,-0.020046801872074874,163,11.933820854598407,2.8780957818856647
transformer,24,1282,177.4940159481492,139.88139834635822,12.538689547581901,-0.2616224648985959,163,10.77916974106402,4.392976946684767
cons_equal,24,1282,105.22101761051059,80.45658797179861,15.572386895475818,-12.957722308892356,163,47.10860249709861,-18.7388480479623
cons_weighted,24,1282,74.61722788816662,51.02531651022278,12.549141965678627,-4.670202808112325,163,62.49219452137886,4.313277662788764
cons_bc,24,1282,74.61722788816662,51.02531651022278,11.994617784711387,1.042823712948518,163,62.49219452137886,8.54150310470346
cons_aiwp,24,1282,70.04625848036942,43.5867548739179,26.27464898595944,-25.993369734789393,163,64.78988147985638,-100.34318273737304
hybrid_static,24,1282,70.04625848036942,43.5867548739179,11.994617784711387,1.042823712948518,163,64.78988147985638,8.54150310470346
hybrid_rules,24,1282,70.04625848036942,43.5867548739179,11.940093603744147,2.047581903276131,163,64.78988147985638,8.957247876668356
static_convex,24,1282,69.47898297240394,43.96661165076758,11.994617784711387,1.042823712948518,163,65.07503358222937,8.54150310470346
static_basin,24,1282,65.86377306775174,45.123195913507075,11.994617784711387,1.042823712948518,163,66.89228937832125,8.54150310470346
static_icat,24,1282,69.60243593408698,45.02090370311217,11.994617784711387,1.042823712948518,163,65.0129775423091,8.54150310470346
gate_ridge,24,1282,68.62511279364368,49.60730505400992,11.994617784711387,1.042823712948518,163,65.5042480877178,8.54150310470346
gbt_static,24,1282,72.55160648276413,48.78959480586059,11.994617784711387,1.042823712948518,163,63.53051942380531,8.54150310470346
gbt_case,24,1282,64.38577672512135,46.96861219551389,11.994617784711387,1.042823712948518,163,67.6352330776045,8.54150310470346
gbt_shuffled,24,1282,68.07610062396644,47.26124812530516,11.994617784711387,1.042823712948518,163,65.78021976675834,8.54150310470346
learned_gbt2,24,1282,64.38577672512135,46.96861219551389,10.902964118564743,0.96801872074883,163,67.6352330776045,16.865320105631294
learned_gbt_contract,24,1282,65.51129506727568,47.50663222574511,11.160998439937597,0.8433697347893916,163,67.0694693225717,14.897818380796052
analog_median,24,1282,70.04625848036942,43.5867548739179,12.27418096723869,2.09789391575663,163,64.78988147985638,6.409844645873479
analog_linear,24,1282,70.04625848036942,43.5867548739179,12.195007800312013,0.6702028081123246,163,64.78988147985638,7.013536982846814
aiwp_postproc,24,1282,70.04625848036942,43.5867548739179,10.548829953198126,0.3432137285491421,163,64.78988147985638,19.565579425689354
agent_full_qwen14b,24,1282,71.50638721693359,47.58982007835719,12.544071762870514,-1.6421996879875196,163,64.05591928138293,4.351937763186078
agent_full_qwen72b,24,1282,73.56269559494,50.26316142508294,12.812792511700469,-1.3628705148205926,163,63.02227575388658,2.3029524421288037
agent_full_qwen7b,24,1282,74.02762987779523,49.941991373716306,13.547347893915758,-2.6462558502340094,163,62.788567465127684,-3.298003949277951
agent_mini_qwen14b,24,1282,74.61722788816662,51.02531651022278,11.93408736349454,-1.758424336973479,163,62.49219452137886,9.003045226369766
agent_single_qwen14b,24,1282,70.51268951780766,45.55732677991189,11.853354134165366,1.0322932917316692,163,64.55542081820268,9.618632978849957
agent_single_refine_qwen14b,24,1282,71.25543148761967,46.06410756730607,11.79742589703588,1.1117784711388454,163,64.1820670752002,10.045083624771022
agent_no_analogs_qwen14b,24,1282,71.22258116532328,48.24911678369608,12.941497659906396,-1.0603744149765992,163,64.19857993065564,1.3215806628125573
agent_no_auditor_qwen14b,24,1282,71.6118003883202,47.88810587667169,11.9603744149766,2.6817472698907956,163,64.00293129403529,8.802607475079098
agent_no_diagnostics_qwen14b,24,1282,71.75790997016472,48.1555423830915,12.180421216848673,-0.5085023400936038,163,63.929486461930296,7.124759117835996
agent_full_qwen14b_anon,24,1282,70.80919857406843,48.128821547443735,12.353978159126365,-2.449765990639626,163,64.40637475579003,5.801394142697409
agent_full_qwen14b_gateadv,24,1282,68.93558262961761,46.105569496871304,12.257800312012481,-2.1941497659906397,163,65.34818436698907,6.534746508695548
agent_featmatch_qwen14b,24,1282,85.13223517131587,59.485515588345635,12.353432137285491,-2.7464118564742592,163,57.20662094882871,5.8055575381248135
agent_featmatch_fs_qwen14b,24,1282,103.11314612560145,77.22155432917947,12.65780031201248,-3.077145085803432,163,48.168165226343916,3.484761972735718
agent_full_qwen14b_t0,24,1282,71.42644745483344,48.313773980348195,12.27028081123245,-1.7524960998439936,163,64.09610256253288,6.439583184640641
agent_full_qwen14b_strongprior,24,1282,71.16697674618109,46.86493050991298,11.40241809672387,-1.5752730109204367,163,64.22653057685308,13.057002831108882
pangu,24,1282,80.97422014000992,51.1849133868477,25.985725429017158,-25.65842433697348,163,59.29672833267778,-98.14015178550184
fengwu,24,1282,71.17839326175837,44.008758720527986,26.591419656786268,-26.328549141965677,163,64.22079184254687,-102.75854685604166
persistence,48,1102,501.1415470133256,408.6464826461283,22.520560747663552,3.5485981308411216,144,-14.51061437731195,-16.121726140279012
cliper,48,1102,437.63763712075325,367.5603759656319,19.39392523364486,0.8657009345794393,144,0.0,0.0
gru,48,1102,400.1412456594759,328.6675079975532,18.358130841121497,0.07588785046728966,144,8.56790830605169,5.340818735994986
transformer,48,1102,401.54688755746645,336.4233373164109,17.904392523364486,0.1830841121495328,144,8.246719775001578,7.680408645158189
cons_equal,48,1102,228.40248769730354,184.17716447945477,18.303457943925235,-13.147009345794391,144,47.81013598373794,5.622726067995085
cons_weighted,48,1102,133.6469839319845,85.68898445999196,17.470654205607477,-8.302242990654205,144,69.46172527316051,9.916873479025615
cons_bc,48,1102,133.6469839319845,85.68898445999196,16.415046728971966,1.1043925233644858,144,69.46172527316051,15.359853504565924
cons_aiwp,48,1102,124.08236961871243,69.21144883280527,27.027383177570098,-26.66700934579439,144,71.64723527092904,-39.360046261716036
hybrid_static,48,1102,124.08236961871243,69.21144883280527,16.415046728971966,1.1043925233644858,144,71.64723527092904,15.359853504565924
hybrid_rules,48,1102,124.08236961871243,69.21144883280527,16.373644859813083,1.0510280373831775,144,71.64723527092904,15.573332048285677
static_convex,48,1102,123.48347382439115,72.33874295643727,16.415046728971966,1.1043925233644858,144,71.78408268612428,15.359853504565924
static_basin,48,1102,116.96425286631721,73.6568898161533,16.415046728971966,1.1043925233644858,144,73.2737216945433,15.359853504565924
static_icat,48,1102,125.03088411818668,71.01153979096566,16.415046728971966,1.1043925233644858,144,71.43050014144737,15.359853504565924
gate_ridge,48,1102,125.87488935817767,79.26506450034654,16.415046728971966,1.1043925233644858,144,71.23764532997737,15.359853504565924
gbt_static,48,1102,127.27512050335568,77.2964747883573,16.415046728971966,1.1043925233644858,144,70.9176931534712,15.359853504565924
gbt_case,48,1102,115.96811001792099,75.08515808338862,16.415046728971966,1.1043925233644858,144,73.5013398799786,15.359853504565924
gbt_shuffled,48,1102,120.40950154007969,75.63178075701262,16.415046728971966,1.1043925233644858,144,72.48648394771033,15.359853504565924
learned_gbt2,48,1102,115.96811001792099,75.08515808338862,15.204579439252338,0.605700934579439,144,73.5013398799786,21.601330024335585
learned_gbt_contract,48,1102,117.61711074702947,75.96192077032862,15.581869158878503,0.46280373831775656,144,73.12454396727846,19.655928487097334
analog_median,48,1102,124.08236961871243,69.21144883280527,18.638317757009347,3.677570093457944,144,71.64723527092904,3.8961038961038983
analog_linear,48,1102,124.08236961871243,69.21144883280527,18.073271028037386,1.5433644859813085,144,71.64723527092904,6.809628219646765
aiwp_postproc,48,1102,124.08236961871243,69.21144883280527,13.602897196261683,0.2361682242990653,144,71.64723527092904,29.860010119750378
agent_full_qwen14b,48,1102,127.37307688819062,78.70031772177218,16.825233644859814,-0.08616822429906525,144,70.89531016432078,13.24482567525239
agent_full_qwen72b,48,1102,130.8109348284122,81.96093551347504,16.435607476635518,-0.5395327102803738,144,70.10976119672296,15.253837072018875
agent_full_qwen7b,48,1102,132.61594705111042,84.09314726145689,17.906728971962618,-1.3951401869158877,144,69.69731672906393,7.668361323277835
agent_mini_qwen14b,48,1102,133.6469839319845,85.68898445999196,16.371028037383176,-0.05719626168224314,144,69.46172527316051,15.586825048791663
