method,lead,n,track_km,track_med_km,vmax_mae_kt,vmax_bias_kt,n_storms,track_skill_pct,vmax_skill_pct
hybrid_static,24,1282,70.04625848036942,43.5867548739179,11.994617784711387,1.042823712948518,163,0.0,0.0
aiwp_postproc,24,1282,70.04625848036942,43.5867548739179,10.548829953198126,0.3432137285491421,163,0.0,12.053638202261808
agent_full_qwen14b,24,1282,71.50638721693359,47.58982007835719,12.544071762870514,-1.6421996879875196,163,-2.084520669970368,-4.58083773923562
agent_full_qwen14b_strongprior,24,1282,71.16697674618109,46.86493050991298,11.40241809672387,-1.5752730109204367,163,-1.599968777955154,4.937211827977944
hybrid_static,48,1102,124.08236961871243,69.21144883280527,16.415046728971966,1.1043925233644858,144,0.0,0.0
aiwp_postproc,48,1102,124.08236961871243,69.21144883280527,13.602897196261683,0.2361682242990653,144,0.0,17.131535347669406
agent_full_qwen14b,48,1102,127.37307688819062,78.70031772177218,16.825233644859814,-0.08616822429906525,144,-2.6520345151289972,-2.4988470801236495
agent_full_qwen14b_strongprior,48,1102,127.52802973419338,77.92322067702423,14.850280373831776,-0.2885981308411215,144,-2.776913534186181,9.532512340512767
hybrid_static,72,907,213.68064164210475,105.89213140844807,17.88183934807916,1.1772991850989525,119,0.0,0.0
aiwp_postproc,72,907,213.68064164210475,105.89213140844807,14.807683352735738,0.8826542491268918,119,0.0,17.191497672601805
agent_full_qwen14b,72,907,209.70361412581155,118.86050581318875,18.527240977881256,1.1651920838183933,119,1.8612015977349707,-3.609257511148721
agent_full_qwen14b_strongprior,72,907,210.1950630131754,117.71005932951536,15.482421420256111,0.2938300349243306,119,1.631209360915046,13.41818300185541
